Source: ACS 1-Year Estimates 1-Year Estimates-Public Use Microdata Sample 2018
Weight used: PWGTP
"Universe: selected geographies: California"
"","Recoded detailed Hispanic origin recode (HISP_RC1)","",""
"Recoded detailed race code recode (RAC1P_RC1)","Total","Hispanic","NonHispanic"
" -> Total","39557045","15540503","24016542"
" -> Total -> Total Male","19660202","7810076","11850126"
" -> Total -> Total Male -> Total California","19660202","7810076","11850126"
"White","11738734","4484884","7253850"
"Black","1133588","50757","1082831"
"American Indian Alaska Native","152752","90103","62649"
"Asian Pacific Islander","2838206","46684","2791522"
"Other","3796922","3137648","659274"
" -> Total -> Total Female","19896843","7730427","12166416"
" -> Total -> Total Female -> Total California","19896843","7730427","12166416"
"White","11784204","4540754","7243450"
"Black","1146926","51349","1095577"
"American Indian Alaska Native","149776","84365","65411"
"Asian Pacific Islander","3142999","45182","3097817"
"Other","3672938","3008777","664161"
