Source: ACS 1-Year Estimates 1-Year Estimates-Public Use Microdata Sample 2016
Weight used: PWGTP
"Universe: selected geographies: California"
"","Recoded detailed Hispanic origin recode (HISP_RC1)","",""
"Recoded detailed race code recode (RAC1P_RC1)","Total","Hispanic","NonHispanic"
" -> Total","39250017","15280629","23969388"
" -> Total -> Total Male","19497412","7691376","11806036"
" -> Total -> Total Male -> Total California","19497412","7691376","11806036"
"White","11697276","4342087","7355189"
"Black","1122079","53786","1068293"
"American Indian Alaska Native","136674","76856","59818"
"Asian Pacific Islander","2737820","48721","2689099"
"Other","3803563","3169926","633637"
" -> Total -> Total Female","19752605","7589253","12163352"
" -> Total -> Total Female -> Total California","19752605","7589253","12163352"
"White","11705011","4331818","7373193"
"Black","1141757","47286","1094471"
"American Indian Alaska Native","145217","78037","67180"
"Asian Pacific Islander","3026744","49676","2977068"
"Other","3733876","3082436","651440"
