Source: ACS 1-Year Estimates 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: California"
"","Recoded detailed Hispanic origin recode (HISP_RC1)","",""
"Recoded detailed race code recode (RAC1P_RC1)","Total","Hispanic","NonHispanic"
" -> Total","39512223","15577154","23935069"
" -> Total -> Total Male","19648687","7842027","11806660"
" -> Total -> Total Male -> Total California","19648687","7842027","11806660"
"White","11746372","4565458","7180914"
"Black","1135360","52852","1082508"
"American Indian Alaska Native","159360","88350","71010"
"Asian Pacific Islander","2851591","48566","2803025"
"Other","3756004","3086801","669203"
" -> Total -> Total Female","19863536","7735127","12128409"
" -> Total -> Total Female -> Total California","19863536","7735127","12128409"
"White","11751182","4576325","7174857"
"Black","1149683","51830","1097853"
"American Indian Alaska Native","160807","85692","75115"
"Asian Pacific Islander","3170551","46791","3123760"
"Other","3631313","2974489","656824"
